Transaction ID,Date,Customer ID,Gender,Product Category,Quantity,Price per Unit,Remise (%)
1,2023-01-02,CUST1,Male,Beauty,3,200,0
2,2023-01-03,CUST2,Female,Clothing,5,103,15
3,2023-01-04,CUST3,Female,Electronics,4,80,20
4,2023-01-05,CUST4,Female,Clothing,4,47,0
5,2023-01-06,CUST5,Female,Electronics,1,77,5
6,2023-01-07,CUST6,Male,Beauty,2,123,20
7,2023-01-08,CUST7,Male,Clothing,4,31,0
8,2023-01-09,CUST8,Male,Electronics,4,118,15
9,2023-01-10,CUST9,Female,Electronics,3,138,15
10,2023-01-11,CUST10,Male,Electronics,5,21,5
11,2023-01-12,CUST11,Male,Electronics,1,149,0
12,2023-01-13,CUST12,Female,Beauty,3,131,0
13,2023-01-14,CUST13,Female,Clothing,2,148,20
14,2023-01-15,CUST14,Male,Electronics,5,129,10
15,2023-01-16,CUST15,Male,Clothing,1,74,0
16,2023-01-17,CUST16,Female,Beauty,4,56,20
17,2023-01-18,CUST17,Female,Clothing,2,162,10
18,2023-01-19,CUST18,Female,Clothing,4,127,15
19,2023-01-20,CUST19,Male,Electronics,2,123,20
20,2023-01-21,CUST20,Female,Clothing,4,199,5
